# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
363           	GAMG	7.918950e-02	1.820290e-04	2	true
364           	GAMG	7.903480e-02	1.734210e-04	2	true
365           	GAMG	7.912090e-02	1.816150e-04	2	true
366           	GAMG	7.864820e-02	1.760780e-04	2	true
367           	GAMG	7.878190e-02	1.765510e-04	2	true
368           	GAMG	7.886360e-02	1.767860e-04	2	true
369           	GAMG	7.934380e-02	1.754690e-04	2	true
370           	GAMG	7.955900e-02	1.714260e-04	2	true
371           	GAMG	7.934370e-02	1.712210e-04	2	true
372           	GAMG	7.906270e-02	1.730120e-04	2	true
373           	GAMG	7.865830e-02	1.690790e-04	2	true
374           	GAMG	7.819680e-02	1.704900e-04	2	true
375           	GAMG	7.832990e-02	1.701290e-04	2	true
376           	GAMG	7.893790e-02	1.675110e-04	2	true
377           	GAMG	7.909070e-02	1.660080e-04	2	true
378           	GAMG	7.942710e-02	1.638430e-04	2	true
379           	GAMG	7.927100e-02	1.625210e-04	2	true
380           	GAMG	8.032220e-02	1.662060e-04	2	true
381           	GAMG	8.059040e-02	1.656540e-04	2	true
382           	GAMG	7.994950e-02	1.645230e-04	2	true
383           	GAMG	7.988520e-02	1.615140e-04	2	true
384           	GAMG	8.014470e-02	1.653930e-04	2	true
385           	GAMG	7.899130e-02	1.639050e-04	2	true
386           	GAMG	7.912400e-02	1.625360e-04	2	true
387           	GAMG	7.731620e-02	1.651710e-04	2	true
388           	GAMG	7.736360e-02	1.689610e-04	2	true
389           	GAMG	7.664960e-02	1.735440e-04	2	true
390           	GAMG	7.670990e-02	1.684410e-04	2	true
391           	GAMG	7.703690e-02	1.729760e-04	2	true
392           	GAMG	7.653100e-02	1.738470e-04	2	true
393           	GAMG	7.641540e-02	1.738880e-04	2	true
394           	GAMG	7.594350e-02	1.736630e-04	2	true
395           	GAMG	7.591130e-02	1.669570e-04	2	true
396           	GAMG	7.658820e-02	1.672560e-04	2	true
397           	GAMG	7.603360e-02	1.649570e-04	2	true
398           	GAMG	7.543450e-02	1.616130e-04	2	true
399           	GAMG	7.603280e-02	1.610860e-04	2	true
400           	GAMG	7.691150e-02	1.614860e-04	2	true
401           	GAMG	7.699660e-02	1.659800e-04	2	true
402           	GAMG	7.786080e-02	1.650600e-04	2	true
403           	GAMG	7.880980e-02	1.605520e-04	2	true
404           	GAMG	7.936180e-02	1.666530e-04	2	true
405           	GAMG	7.914190e-02	1.659390e-04	2	true
406           	GAMG	7.842760e-02	1.598150e-04	2	true
407           	GAMG	7.853800e-02	1.627100e-04	2	true
408           	GAMG	7.719170e-02	1.589850e-04	2	true
409           	GAMG	7.829820e-02	1.652160e-04	2	true
410           	GAMG	7.905870e-02	1.647140e-04	2	true
411           	GAMG	7.891710e-02	1.612610e-04	2	true
412           	GAMG	7.918110e-02	1.620900e-04	2	true
413           	GAMG	7.981740e-02	1.644340e-04	2	true
414           	GAMG	7.913600e-02	1.646240e-04	2	true
415           	GAMG	7.983660e-02	1.620940e-04	2	true
416           	GAMG	7.929030e-02	1.652770e-04	2	true
417           	GAMG	7.953390e-02	1.702720e-04	2	true
418           	GAMG	8.050010e-02	1.713790e-04	2	true
419           	GAMG	8.138080e-02	1.805000e-04	2	true
420           	GAMG	8.286110e-02	1.810080e-04	2	true
421           	GAMG	8.373290e-02	1.811980e-04	2	true
422           	GAMG	8.451860e-02	1.859540e-04	2	true
423           	GAMG	8.500140e-02	1.907370e-04	2	true
424           	GAMG	8.528970e-02	1.880630e-04	2	true
425           	GAMG	8.494840e-02	1.825370e-04	2	true
426           	GAMG	8.500340e-02	1.872270e-04	2	true
427           	GAMG	8.436300e-02	1.829170e-04	2	true
428           	GAMG	8.396850e-02	1.730400e-04	2	true
429           	GAMG	8.436930e-02	1.703870e-04	2	true
430           	GAMG	8.394500e-02	1.679510e-04	2	true
431           	GAMG	8.389670e-02	1.710250e-04	2	true
432           	GAMG	8.363950e-02	1.705700e-04	2	true
433           	GAMG	8.283330e-02	1.673190e-04	2	true
434           	GAMG	8.203160e-02	1.669050e-04	2	true
435           	GAMG	8.066960e-02	1.693810e-04	2	true
436           	GAMG	7.974330e-02	1.715130e-04	2	true
437           	GAMG	7.912860e-02	1.707630e-04	2	true
438           	GAMG	7.798610e-02	1.703340e-04	2	true
439           	GAMG	7.808510e-02	1.632670e-04	2	true
440           	GAMG	7.738300e-02	1.658660e-04	2	true
